date,trial_number,total_popularity,total_time,planned_rides,optimal_rides,time_schedule
2023-09-28,96,7549,738,"[4, 4, 3, 4, 2, 6, 3, 2, 2, 4, 2, 3, 1, 1, 5, 7, 4]","[4, 4, 3, 4, 2, 6, 3, 2, 2, 4, 2, 3, 1, 1, 5, 7]","[0, 30, 90, 180, 255, 315, 360, 435, 495, 555, 570, 585, 615, 630, 660, 675]"
2023-09-28,97,7552,675,"[7, 4, 1, 3, 5, 3, 4, 4, 0, 0, 3, 5, 3, 2, 3, 4, 3]","[7, 4, 1, 3, 5, 3, 4, 4, 0, 0, 3, 5, 3, 2, 3, 4]","[0, 60, 135, 225, 300, 360, 420, 480, 525, 540, 570, 585, 600, 615, 630, 660]"
2023-09-28,98,7942,695,"[1, 6, 6, 6, 5, 5, 7, 4, 2, 3, 3, 2, 2, 1, 4, 3, 5, 4, 7, 1]","[1, 6, 6, 6, 5, 5, 7, 4, 2, 3, 3, 2, 2, 1, 4, 3, 5]","[0, 90, 150, 225, 285, 345, 405, 480, 525, 540, 555, 585, 600, 615, 630, 660, 675]"
2023-09-28,99,7938,693,"[1, 6, 6, 6, 4, 5, 6, 4, 2, 2, 3, 1, 2, 1, 3, 3, 5, 4, 5, 1]","[1, 6, 6, 6, 4, 5, 6, 4, 2, 2, 3, 1, 2, 1, 3, 3, 5]","[0, 90, 150, 225, 285, 345, 405, 465, 525, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,100,7994,691,"[7, 6, 4, 3, 2, 4, 5, 5, 3, 0, 2, 3, 0, 2, 3, 4, 5, 0]","[7, 6, 4, 3, 2, 4, 5, 5, 3, 0, 2, 3, 0, 2, 3, 4, 5]","[0, 60, 120, 195, 270, 330, 405, 465, 525, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,101,7994,691,"[7, 6, 4, 3, 2, 4, 5, 5, 3, 0, 2, 3, 0, 2, 3, 4, 5, 0]","[7, 6, 4, 3, 2, 4, 5, 5, 3, 0, 2, 3, 0, 2, 3, 4, 5]","[0, 60, 120, 195, 270, 330, 405, 465, 525, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,102,8002,691,"[7, 6, 4, 3, 2, 4, 5, 5, 3, 0, 2, 4, 0, 2, 3, 4, 5, 0]","[7, 6, 4, 3, 2, 4, 5, 5, 3, 0, 2, 4, 0, 2, 3, 4, 5]","[0, 60, 120, 195, 270, 330, 405, 465, 525, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,103,8002,691,"[7, 6, 4, 3, 3, 4, 5, 5, 2, 0, 2, 4, 0, 2, 3, 4, 5, 0]","[7, 6, 4, 3, 3, 4, 5, 5, 2, 0, 2, 4, 0, 2, 3, 4, 5]","[0, 60, 120, 195, 270, 330, 405, 465, 525, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,104,7545,683,"[7, 3, 1, 3, 6, 3, 4, 4, 0, 4, 4, 5, 3, 2, 5, 4, 3]","[7, 3, 1, 3, 6, 3, 4, 4, 0, 4, 4, 5, 3, 2, 5, 4]","[0, 60, 150, 240, 315, 360, 435, 480, 525, 555, 570, 585, 600, 630, 645, 660]"
2023-09-28,105,7505,681,"[5, 3, 4, 3, 1, 7, 3, 2, 0, 3, 3, 4, 5, 1, 5, 3, 6, 7]","[5, 3, 4, 3, 1, 7, 3, 2, 0, 3, 3, 4, 5, 1, 5, 3]","[0, 30, 90, 165, 240, 315, 405, 480, 525, 555, 570, 585, 600, 615, 645, 660]"
2023-09-28,106,7490,694,"[5, 3, 4, 4, 2, 6, 4, 2, 2, 2, 3, 4, 5, 1, 5, 5, 4, 7, 6]","[5, 3, 4, 4, 2, 6, 4, 2, 2, 2, 3, 4, 5, 1, 5, 5]","[0, 30, 90, 165, 240, 300, 360, 435, 510, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,107,7555,688,"[3, 4, 0, 6, 4, 2, 2, 2, 3, 5, 4, 2, 1, 3, 2, 4, 2, 1, 4, 7]","[3, 4, 0, 6, 4, 2, 2, 2, 3, 5, 4, 2, 1, 3, 2, 4]","[0, 60, 120, 225, 285, 345, 405, 480, 540, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,108,7937,687,"[1, 6, 6, 6, 4, 5, 5, 4, 3, 2, 2, 2, 2, 1, 3, 3, 5, 4, 5, 0]","[1, 6, 6, 6, 4, 5, 5, 4, 3, 2, 2, 2, 2, 1, 3, 3, 5]","[0, 90, 150, 225, 285, 345, 405, 465, 525, 540, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,109,7547,690,"[7, 2, 0, 3, 7, 3, 4, 4, 0, 5, 4, 5, 2, 2, 4, 5, 4]","[7, 2, 0, 3, 7, 3, 4, 4, 0, 5, 4, 5, 2, 2, 4, 5]","[0, 60, 135, 225, 300, 375, 435, 495, 540, 555, 585, 600, 615, 630, 645, 675]"
